protein,outcome,coloc_abf_H4,coloc_abf_H3,coloc_susie_H4,LD_source,n_snps,CS_pairs,ld_mean_r,notes
GABARAP,SBP,0.98503,0.007224,0.6403,real_VCF,92,NA,NA,Original real chr3 1000G VCF coloc.susie
GABARAP,DBP,0.75242,0.247576,0.93249,real_VCF,92,NA,NA,Original real chr3 1000G VCF coloc.susie
GABARAP,HTN,0.85547,0.142769,0.99936,real_VCF,329,NA,NA,Original real chr3 1000G VCF coloc.susie. Single SuSiE CS each trait
GABARAP,MHTN,0.96285,0.036714,0.99982,real_VCF,330,NA,NA,Original real chr3 1000G VCF coloc.susie. Single SuSiE CS each trait
GABARAP_v4,SBP,0.98503,NA,1.00000,IEU_API,81,1,0.1050,GABARAP_v4 IEU API LD (chr3:6014143-6914143). susie converged 81 vars
GABARAP_v4,DBP,0.75242,NA,1.00000,IEU_API,81,1,0.1050,GABARAP_v4 IEU API LD. ld_mean_r=0.105
GABARAP_v4,HTN,0.85547,NA,1.00000,IEU_API,323,1,0.3975,GABARAP_v4 IEU API LD (987 vars 323 after pruning). ld_mean_r=0.397
GABARAP_v4,MHTN,0.96285,NA,1.00000,IEU_API,323,1,0.3975,GABARAP_v4 IEU API LD (1084 vars 323 after pruning). ld_mean_r=0.397
FN1.3 (Fibronectin),DBP,0.99983,8e-05,0.99994,real_VCF,32,1,0.0937,Real chr2 1000G VCF. ld_mean_r=0.0937. coloc_abf_H3=8.01e-05
FN1.3 (Fibronectin),DBP,0.99983,8e-05,1.00000,IEU_API,32,1,NA,IEU API LD (chr2:216100185-216500185)
PGP9.5 (UCHL1),DBP,0.99793,8e-07,0.99950,real_VCF,29,1,0.1359,Real chr14 1000G VCF. ld_mean_r=0.1359. coloc_abf_H3=8.38e-07
PGP9.5 (UCHL1),DBP,0.99793,1e-06,0.99961,IEU_API,28,1,NA,IEU API LD (chr14:94510949-94910949). coloc_abf_H3=9.94e-07
NovH (CCN3),DBP,0.94308,0.054810,0.97310,real_VCF,21,1,0.1289,Real chr8 1000G VCF. ld_mean_r=0.1289. coloc_abf_H3=0.0548
NovH (CCN3),DBP,0.94308,0.054810,1.00000,IEU_API,21,1,NA,IEU API LD (chr8:120235705-120635705)
Lysozyme,HTN,0.84905,0.078768,0.99906,real_VCF,30,1,0.2242,Real chr12 1000G VCF (pruned). ld_mean_r=0.2242. coloc_abf_H3=0.0788
Lysozyme,HTN,0.84905,0.078768,1.00000,IEU_API,104,1,NA,IEU API LD (chr12:69535492-69935492)
